,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
14006,17-2199.11,Solar Energy Systems Engineers,ETAP,43232510,Geographic information system,N
14019,17-2199.11,Solar Energy Systems Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
14102,17-3011.00,Architectural and Civil Drafters,Microsoft Visio,43231518,Process mapping and design software,Y
14151,17-3012.00,Electrical and Electronics Drafters,Microsoft Visio,43231518,Process mapping and design software,Y
14184,17-3013.00,Mechanical Drafters,ESRI ArcGIS software,43232510,Geographic information system,Y
14235,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
14237,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Microsoft Visio,43231518,Process mapping and design software,Y
14316,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,IBM WebSphere,43232806,Cloud-based management software,Y
14401,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,MindJet MindManager,43231518,Process mapping and design software,N
14610,17-3026.00,Industrial Engineering Technologists and Technicians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
14695,17-3027.00,Mechanical Engineering Technologists and Technicians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
14700,17-3027.00,Mechanical Engineering Technologists and Technicians,ProModel,43231518,Process mapping and design software,N
14845,17-3031.00,Surveying and Mapping Technicians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
