,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
28810,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Caliper Maptitude,43232510,Geographic information system,N
29127,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
29128,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Microsoft Visio,43231518,Process mapping and design software,Y
29285,49-9071.00,"Maintenance and Repair Workers, General",Dropbox,43233513,Cloud-based data access and sharing software,N
29424,51-1011.00,First-Line Supervisors of Production and Operating Workers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
29929,51-6093.00,Upholsterers,LibreOffice Draw,43231518,Process mapping and design software,N
30007,51-8012.00,Power Distributors and Dispatchers,Geographic information system GIS software,43232510,Geographic information system,Y
30212,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
30213,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Microsoft Visio,43231518,Process mapping and design software,Y
30640,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Microsoft Visio,43231518,Process mapping and design software,Y
30653,53-2012.00,Commercial Pilots,Aeronautical charts,43232105,Charting software,N
30655,53-2012.00,Commercial Pilots,Airdata,43231507,Project management software,N
30658,53-2012.00,Commercial Pilots,ArduPilot Mission Planner,43232601,Aviation ground support software,N
30722,53-2022.00,Airfield Operations Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
30969,53-6051.01,Aviation Inspectors,Computer aided manufacturing CAM software,43232612,Computer aided manufacturing CAM software,N
